Tournament,Player,ACPL,Robust_SD,AvgElo,AnalyzedMoves
1986_Karpov-Kasparov_III.pgn,"Karpov, Anatoly",16.56,1.8885,2705.0,653
1986_Karpov-Kasparov_III.pgn,"Kasparov, Garry",13.04,1.081,2740.0,649
1987_Karpov-Kasparov_IV.pgn,"Karpov, Anatoly",15.8,1.4293,2700.0,727
1987_Karpov-Kasparov_IV.pgn,"Kasparov, Garry",15.58,1.8212,2740.0,730
1990_Karpov-Kasparov_V.pgn,"Karpov, Anatoly",16.54,1.0687,2730.0,791
1990_Karpov-Kasparov_V.pgn,"Kasparov, Garry",15.64,1.159,2800.0,790
1993_Kasparov-Short.pgn,"Kasparov, Garry",16.41,1.9464,2805.0,540
1993_Kasparov-Short.pgn,"Short, Nigel D",20.06,2.1095,2655.0,536
1995_Kasparov-Anand.pgn,"Anand, Viswanathan",16.73,2.0481,2725.0,362
1995_Kasparov-Anand.pgn,"Kasparov, Garry",11.9,1.2029,2795.0,363
2000_Kasparov-Kramnik.pgn,"Kasparov, Garry",15.41,2.096,2849.0,432
2000_Kasparov-Kramnik.pgn,"Kramnik, Vladimir",11.38,1.1376,2770.0,432
1984_Karpov-Kasparov.pgn,"Karpov, Anatoly",13.81,0.9882,2705.0,1196
1984_Karpov-Kasparov.pgn,"Kasparov, Garry",13.51,0.9486,2715.0,1198
1985_Karpov-Kasparov_II.pgn,"Kasparov, Garry",13.69,1.0564,2700.0,665
1985_Karpov-Kasparov_II.pgn,"Karpov, Anatoly",17.56,2.2731,2720.0,670
